Name,Rating,Reviews,Salaries,Interviews,Jobs
S V S Projects India,3.1,(159),530,10,--
Bimal Auto Agency,3.6,(159),580,6,--
CENTRUM HOUSING FINANCE,3.8,(160),475,4,4
Impressions Services,4.0,(159),661,2,2
INOXCVA,3.3,(159),695,8,--
VISION,3.9,(159),629,9,--
Rosmerta Safety Systems,3.2,(160),689,10,3
Nahar Industrial Enterprises,3.7,(159),654,11,6
Bandhan Life,3.1,(159),360,8,4
Vinsum Axpress,3.1,(159),483,12,9
Bhavna Corp.,3.2,(159),953,17,--
Leena AI,3.5,(159),595,28,15
Finecure Pharmaceuticals,3.8,(159),731,13,2
Express Roadways,3.6,(159),669,9,--
Parsons International,4.3,(159),216,7,--
Aurus,2.6,(159),1.3k,26,2
Mohani Tea Leaves,4.1,(159),504,5,--
HP Computing and Printing Systems,3.9,(159),872,8,--
ObjectWin Technology,3.6,(159),1k,10,--
FCS Software Solutions,3.7,(159),785,14,46
TCS,3.4,(1.1L),9.4L,11.6k,1.2k
Accenture,3.7,(67.8k),6.3L,8.9k,32.4k
Wipro,3.7,(60.8k),4.6L,6.4k,5.8k
Cognizant,3.7,(57.7k),5.8L,6.1k,489
Capgemini,3.7,(49.5k),4.6L,5.3k,2k
HDFC Bank,3.8,(47.8k),1.4L,2.7k,169
Infosys,3.5,(45.5k),5.1L,8.1k,2.3k
ICICI Bank,4.0,(43.5k),1.5L,2.8k,3
HCLTech,3.4,(42.5k),3.6L,4.3k,264
Tech Mahindra,3.4,(40.7k),2.8L,4.3k,568
Genpact,3.6,(38.9k),2.2L,3.6k,416
Teleperformance,3.8,(34.9k),93.7k,2.1k,731
Axis Bank,3.7,(30.8k),1L,1.8k,634
Concentrix Corporation,3.6,(30.3k),1.3L,1.9k,98
Jio,4.3,(29.5k),62.4k,3.2k,51
Amazon,4.0,(29.3k),1.4L,5.6k,1.5k
iEnergizer,4.6,(26.8k),23.6k,919,43
Reliance Retail,3.9,(25.9k),71.7k,1.8k,81
IBM,3.9,(24.6k),2.1L,2.5k,2.3k
LTIMindtree,3.6,(24.2k),1.9L,3.2k,395
HDB Financial Services,3.9,(24k),49.9k,1k,150
Larsen & Toubro Limited,3.9,(22.1k),72.6k,1.7k,849
Deloitte,3.7,(21.3k),2.3L,3.1k,1k
Kotak Mahindra Bank,3.6,(20.8k),85.4k,1.3k,1.4k
Reliance Industries,4.0,(18.9k),71.2k,1.5k,34
Vodafone Idea,4.0,(16.9k),50.6k,637,20
BYJU'S,3.1,(16.6k),54.1k,2.1k,--
Bharti Airtel,3.9,(16.1k),48.3k,1k,452
WNS,3.3,(14.1k),67.6k,1.2k,71
AU Small Finance Bank,4.1,(13.4k),27.8k,632,10
Tata Motors,4.1,(13.4k),42k,1.2k,172
IndusInd Bank,3.4,(13.2k),50.8k,725,149
Ernst & Young,3.4,(13.1k),1.3L,1.3k,3.8k
IDFC FIRST Bank,3.9,(13k),47.4k,852,23
Flipkart,3.9,(12.1k),52.1k,1.6k,186
Bajaj Finserv,4.0,(11.7k),29k,658,19
DXC Technology,3.6,(11.4k),72.5k,868,252
PwC,3.3,(11.4k),1.1L,1.5k,1.1k
Infosys BPM,3.5,(11.3k),70.4k,1.1k,59
Mahindra & Mahindra,4.1,(11.3k),38.5k,800,2
HDFC Life,3.9,(11.1k),31.9k,740,106
Bandhan Bank,3.7,(9.9k),24.9k,687,9
Conneqt Business Solutions,3.5,(9.8k),26.4k,539,382
Muthoot Fincorp,4.5,(10.1k),8.8k,1.3k,49
Mphasis,3.3,(9.7k),71.7k,883,38
Yes Bank,3.7,(9.4k),42.9k,513,206
Tata Steel,4.0,(9.2k),32.7k,1k,--
Quess,3.8,(8.9k),30k,504,8
Startek,3.1,(8.9k),24.2k,578,96
Asian Paints,3.9,(8.7k),24.8k,772,44
Paytm,3.2,(8.7k),33.1k,851,907
UltraTech Cement,4.1,(8.6k),23.4k,730,101
Shriram Finance,4.0,(8.5k),15.1k,411,4
Maruti Suzuki,4.2,(8.4k),26.3k,720,625
Bajaj Finance,3.9,(8.3k),22.1k,391,5.6k
Sutherland Global Services,3.4,(8.3k),32.7k,750,408
EXL Service,3.6,(8.1k),42.8k,851,395
Samsung,3.9,(8.1k),25.8k,595,54
Ericsson,4.0,(8.1k),42.2k,455,35
Cipla,4.1,(8k),25.6k,558,74
Wells Fargo,3.7,(7.8k),54k,653,112
Dr. Reddy's,4.0,(7.7k),25.5k,471,36
HGS,3.7,(7.4k),21.1k,263,13
Optum Global Solutions,4.0,(7.4k),46.5k,727,197
ICICI Prudential Life Insurance,4.0,(7.3k),22.9k,456,794
Amazon Development Centre India,3.9,(7.2k),36.4k,849,6
Delhivery,3.8,(7.2k),20.2k,567,107
JPMorgan Chase & Co.,3.9,(7.2k),80.6k,828,778
Jana Small Finance Bank,3.8,(7.2k),14.5k,291,26
Sun Pharmaceutical Industries,4.1,(7.1k),22.8k,625,346
JSW Steel,3.9,(7.1k),29.7k,739,190
Hexaware Technologies,3.5,(7.1k),51.5k,798,618
L&T Construction,4.0,(7k),18.8k,899,--
Lupin,4.1,(6.9k),22.2k,419,40
Zydus Lifesciences,4.0,(6.9k),19.5k,396,22
Hindustan Unilever,4.2,(6.9k),19.9k,436,45
Equitas Small Finance Bank,4.3,(6.8k),12.7k,495,9
KPMG India,3.4,(6.7k),61.7k,892,131
ITC,3.9,(6.7k),23.7k,650,72
Ekart Logistics,3.9,(6.7k),15.3k,386,--
Ujjivan Small Finance Bank,4.0,(6.6k),12.2k,293,161
Axis Max Life Insurance,4.0,(6.6k),19.6k,376,263
Megha Engineering & Infrastructures,3.9,(6.3k),17.8k,534,18
Tata Projects,4.2,(6.3k),21.6k,550,17
FIS,3.9,(6.2k),38.3k,520,213
L&T Technology Services,3.1,(6.1k),41k,599,1
Coforge,3.2,(6k),45.9k,634,227
IIFL Finance,4.0,(6k),13.9k,308,41
Bajaj Life Insurance,3.9,(6k),16.7k,419,80
Oracle,3.5,(6k),60.3k,923,524
Indian Army,4.7,(6k),9.5k,193,--
HCL Group,3.5,(6k),41.1k,505,--
JLL,4.1,(5.9k),23.3k,450,236
Omega Healthcare,3.7,(5.9k),25.4k,510,161
Muthoot Finance,3.6,(5.9k),12.6k,319,98
Cholamandalam Investment & Finance,3.8,(5.8k),11.9k,249,26
eClerx,3.1,(5.8k),30.4k,606,766
Virtusa Consulting Services,3.7,(5.7k),55.5k,633,22
Udaan,4.0,(5.7k),16.5k,364,5
HSBC Group,3.9,(5.6k),41.2k,531,59
Indiamart Intermesh,3.6,(5.6k),20k,725,886
DMart,3.9,(5.6k),18k,507,159
Aurobindo Pharma,4.0,(5.5k),20.7k,283,11
Siemens,4.0,(5.4k),32.6k,484,564
Shapoorji Pallonji Group,4.1,(5.4k),15.1k,396,53
SMFG India Credit,3.9,(5.4k),11k,193,91
Standard Chartered,3.6,(5.4k),41.3k,311,--
BigBasket,3.9,(5.4k),18.4k,440,83
CGI Group,4.0,(5.4k),45.6k,548,112
ICICI Lombard General Insurance Company,3.6,(5.4k),19.4k,340,172
GlobalLogic,3.5,(5.4k),38.9k,666,45
Access Healthcare,3.7,(5.4k),26.5k,364,533
Firstsource Solutions,3.5,(5.4k),23.4k,343,146
Manappuram Finance,3.9,(5.3k),9k,205,13
Apollo Hospitals,4.0,(5.3k),16.2k,449,74
Mahindra Finance,3.9,(5.3k),11.8k,193,450
Bosch Global Software Technologies,3.8,(5.3k),38.7k,375,238
UST,3.7,(5.2k),38.3k,565,103
Ashok Leyland,4.0,(5.2k),18.3k,297,--
Citicorp,3.7,(5.2k),49.9k,606,--
Cyient,3.6,(5.1k),27k,316,94
PolicyBazaar,3.7,(5.1k),16.5k,566,587
Hero MotoCorp,4.1,(5.1k),15.5k,389,--
Swiggy,3.7,(5k),21.9k,522,197
JustDial,3.5,(4.9k),15.4k,373,65
SBI Cards & Payment Services,3.6,(4.9k),15.6k,282,135
Kalpataru Projects International,4.1,(4.9k),13.3k,303,1
BNY,3.7,(4.9k),30.1k,379,1
IQVIA,3.7,(4.8k),29.8k,520,29
CBRE,4.1,(4.8k),18.1k,323,29
TVS Motor,3.9,(4.8k),15.5k,367,69
SBI Life Insurance Company,3.7,(4.8k),11.5k,285,13
vivo,4.1,(4.7k),12.8k,220,1
NTT Data,3.8,(4.7k),34k,695,9
Eviden,3.6,(4.7k),28.6k,312,--
Persistent Systems,3.6,(4.7k),42.4k,686,372
Atos,3.8,(4.7k),33.5k,401,58
Nagarjuna Construction Company,4.1,(4.7k),11.6k,394,22
State Bank of India,3.8,(4.7k),11.2k,294,3
Schneider Electric,4.1,(4.6k),23.4k,419,49
Ecom Express,4.0,(4.6k),9.4k,251,--
Nagarro,3.9,(4.6k),31.2k,821,144
Amdocs,3.7,(4.6k),36.7k,551,74
Home Credit Finance,4.0,(4.5k),9.6k,138,111
JBM Group,3.9,(4.5k),13.6k,326,57
KEC International,4.0,(4.5k),12.8k,385,9
Piramal Capital Housing Finance,4.2,(4.4k),9.9k,223,3
Varun Beverages,4.0,(4.4k),11.7k,311,50
Bosch,4.2,(4.4k),20.2k,368,87
Hewlett Packard Enterprise,4.1,(4.4k),26.4k,256,87
EY Global Delivery Services ( EY GDS),3.5,(4.3k),45.3k,857,47
OPPO,3.9,(4.3k),12k,244,4
Mahindra Logistics,3.7,(4.3k),12.9k,240,--
Dell,3.8,(4.3k),28.4k,418,32
ITC Infotech,3.7,(4.3k),28.7k,401,88
Aditya Birla Fashion and Retail,4.1,(4.3k),12.5k,255,78
L&T Finance,3.9,(4.2k),11.5k,203,--
Randstad,3.7,(4.2k),15.7k,303,5
CARS24,3.5,(4.2k),15.2k,388,123
R1 RCM,3.8,(4.2k),20.4k,343,433
Intas Pharmaceuticals,4.1,(4.2k),16.8k,248,51
Hyundai Motor India Limited,4.2,(4.2k),13.5k,309,3
Havells,3.9,(4.2k),14.9k,264,35
Deutsche Bank,3.9,(4.1k),34.8k,409,983
Utkarsh Small Finance Bank,3.7,(4.1k),10.7k,280,12
Tata AIA Life Insurance,3.9,(4.1k),13.7k,228,632
Hetero,3.8,(4.1k),14.8k,279,139
Motilal Oswal Financial Services,3.7,(4.1k),12.5k,516,57
Team Lease,3.9,(4k),15.6k,239,--
Bajaj Auto,3.8,(4k),14.2k,310,116
Thermax Limited,4.2,(3.9k),12.8k,316,78
Lenskart,3.2,(3.9k),12.5k,414,4.1k
Berger Paints,3.7,(3.9k),9.4k,373,141
Macleods Pharmaceuticals,3.6,(3.9k),15.5k,250,19
LG Electronics,3.9,(3.9k),10.8k,246,--
Aakash Educational Services,3.2,(3.9k),13.2k,349,57
Tata Communications,3.9,(3.9k),23.1k,288,210
