ID,UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
1,1477545019,26-10-2016,19:10:19,4.29495368,48,30.41,93,124.57,11.25,06:21:00,17:52:00
2,1477379721,24-10-2016,21:15:21,4.439169251,47,30.47,81,148.63,5.62,06:21:00,17:53:00
3,1477689619,28-10-2016,11:20:19,483.2675153,51,30.42,100,19.15,3.37,06:22:00,17:51:00
4,1476002422,08-10-2016,22:40:22,5.950979045,50,30.43,90,189.05,5.62,06:15:00,18:05:00
5,1477146317,22-10-2016,04:25:17,-8.324803725,49,,102,117.63,4.5,06:20:00,17:54:00
6,1474968023,26-09-2016,23:20:23,11.77569382,47,30.41,71,124.19,2.25,06:12:00,18:15:00
7,1478571302,07-11-2016,16:15:02,334.3320316,61,30.41,46,344.83,6.75,06:27:00,17:46:00
8,1478597702,07-11-2016,23:35:02,15.86317494,46,30.45,44,194.2,3.37,06:27:00,17:46:00
9,1476201621,11-10-2016,06:00:21,-1.566079094,51,30.43,102,184.13,3.37,06:16:00,18:03:00
10,1480413605,29-11-2016,00:00:05,11.73274867,40,30.46,66,98.93,6.75,06:40:00,17:42:00
11,1478336118,04-11-2016,22:55:18,6.604556695,48,30.5,38,141.38,7.87,06:25:00,17:47:00
12,1480469707,29-11-2016,15:35:07,335.2815767,,30.39,97,134.6,7.87,06:40:00,17:42:00
13,1475473221,02-10-2016,19:40:21,-5.132542915,52,30.44,102,130.75,1.12,06:14:00,18:10:00
14,1474255805,18-09-2016,17:30:05,46.30299906,53,30.42,101,72.78,2.25,06:11:00,18:23:00
15,1479644117,20-11-2016,02:15:17,-2.301474693,49,30.42,254.0461681,105.48,5.62,06:34:00,17:42:00
16,1480736707,02-12-2016,17:45:07,12.20359353,45,30.35,93,155.65,6.75,06:42:00,17:42:00
17,1477976420,31-10-2016,19:00:20,-0.720588724,48,30.46,88,118.28,3.37,06:23:00,17:49:00
18,1481255466,08-12-2016,17:51:06,11.81231278,52,30.36,91,120.09,4.5,06:45:00,17:44:00
19,1473210624,06-09-2016,15:10:24,386.0828296,57,30.39,87,54.56,4.5,06:08:00,18:34:00
20,1472972705,03-09-2016,21:05:05,-1.651133113,,30.48,101,32.35,3.37,06:08:00,18:36:00
21,1474574420,22-09-2016,10:00:20,865.0637377,68,30.43,23,148.93,14.62,06:11:00,18:19:00
22,1476118224,10-10-2016,06:50:24,17.94693259,48,30.4,72,193.61,7.87,06:16:00,18:03:00
23,1480440002,29-11-2016,07:20:02,22.00162826,45,30.43,99,169.3,6.75,06:40:00,17:42:00
24,1475222720,29-09-2016,22:05:20,4.808738984,50,30.47,97,158.35,4.5,06:13:00,18:13:00
25,1475883025,07-10-2016,13:30:25,1075.098257,59,30.4,90,18.81,1.12,06:15:00,18:06:00
26,1473905703,14-09-2016,16:15:03,92.54696696,55,30.41,99,0.76,2.25,06:10:00,18:26:00
27,1482553249,23-12-2016,18:20:49,-8.950383031,49,30.46,67,70.91,6.93811564,06:54:00,17:50:00
28,1481341855,09-12-2016,17:50:55,7.836402801,51,30.4,95,154.18,0,06:46:00,17:44:00
29,1480947033,05-12-2016,04:10:33,7.065275334,45,30.3,93,104.59,2.25,06:44:00,17:43:00
30,1481325950,09-12-2016,13:25:50,122.906006,53,30.37,93,338.34,3.37,06:46:00,17:44:00
31,1475615719,04-10-2016,11:15:19,111.3235851,,30.46,100,359.93,7.87,06:14:00,18:08:00
32,1477072221,21-10-2016,07:50:21,43.31500677,48,30.44,102,51.67,9,06:19:00,17:55:00
33,1479990001,24-11-2016,02:20:01,0.878891491,43,30.44,62,228.82,9,06:37:00,17:42:00
34,1482302718,20-12-2016,20:45:18,-5.354614042,47,30.51,82,135.75,4.5,06:52:00,17:48:00
35,1476788419,18-10-2016,01:00:19,0.736242598,52,30.45,99,95.64,4.5,06:18:00,17:57:00
36,1475349021,01-10-2016,09:10:21,242.5054032,54,30.48,100,32.33,6.75,06:13:00,18:11:00
37,1482965149,28-12-2016,12:45:49,622.6104199,52,30.38,89,107.97,5.62,06:56:00,17:52:00
38,1474491002,21-09-2016,10:50:02,612.288631,58,30.43,85,103.07,5.62,06:11:00,18:20:00
39,1474589419,22-09-2016,14:10:19,920.0301789,71,30.4,34,105.3,13.5,06:11:00,18:19:00
40,1480367719,28-11-2016,11:15:19,842.8539861,,30.46,,6.33,3.37,06:39:00,17:42:00
41,1475616321,04-10-2016,11:25:21,98.71016116,55,,100,8.24,5.62,06:14:00,18:08:00
42,1475060119,28-09-2016,00:55:19,8.757390085,48,,89,171.18,8.412258379,06:13:00,18:14:00
43,1477297818,23-10-2016,22:30:18,1.050786162,47,30.46,39,155.93,6.75,06:20:00,17:54:00
44,1478511002,06-11-2016,23:30:02,1.941270484,51,30.47,25,233.11,2.25,06:26:00,17:46:00
45,1482401752,22-12-2016,00:15:52,3.366133725,46,30.41,80,65.31,4.5,06:53:00,17:49:00
46,1478629202,08-11-2016,08:20:02,424.3508159,56,30.44,31,177.92,1.12,06:27:00,17:45:00
47,1475984119,08-10-2016,17:35:19,17.79078073,57,30.39,96,320.62,3.37,06:15:00,18:05:00
48,1477189517,22-10-2016,16:25:17,447.9520004,52,30.38,85,97.87,5.62,06:20:00,17:54:00
49,1474175106,17-09-2016,19:05:06,-5.42494361,54,30.47,79,133.82,4.5,06:10:00,18:24:00
50,1482595852,24-12-2016,06:10:52,1.204047181,45,30.45,86,157.74,10.12,06:54:00,17:50:00
51,1476459024,14-10-2016,05:30:24,15.57428541,86.07100545,30.43,33,115.3,3.37,06:17:00,18:00:00
52,1480947633,05-12-2016,04:20:33,-9.024956294,45,30.3,93,104.94,2.25,06:44:00,17:43:00
53,1475801725,06-10-2016,14:55:25,52.1337745,56,30.43,98,42.72,4.5,06:15:00,18:07:00
54,1477543820,26-10-2016,18:50:20,-3.432929842,48,30.41,89,96.94,3.37,06:21:00,17:52:00
55,1483096503,30-12-2016,01:15:03,10.13976924,41,30.3,88,183.04,4.5,06:57:00,17:54:00
56,1479352205,16-11-2016,17:10:05,59.98660446,60,30.41,21,137.39,6.75,06:32:00,17:43:00
57,1477551920,26-10-2016,21:05:20,-1.621120186,49,30.44,99,134.95,7.87,06:21:00,17:52:00
58,1482285918,20-12-2016,16:05:18,333.735005,56,30.48,61,46.95,5.62,06:52:00,17:48:00
59,1473937205,15-09-2016,01:00:05,4.006643574,,30.43,96,221.73,4.5,06:10:00,18:26:00
60,1477009219,20-10-2016,14:20:19,789.7755649,56,,79,359.92,1.12,06:19:00,17:56:00
61,1479396302,17-11-2016,05:25:02,13.40112347,52,30.42,,179.05,9,06:32:00,17:43:00
62,1473589818,11-09-2016,00:30:18,-0.314763426,46,30.43,90,191.77,5.62,06:09:00,18:29:00
63,1482889850,27-12-2016,15:50:50,240.7071498,57,30.4,21,94.88,13.5,06:56:00,17:52:00
64,1478530506,07-11-2016,04:55:06,-3.454894255,47,,25,213.49,7.87,06:27:00,17:46:00
65,1474145405,17-09-2016,10:50:05,238.8095805,58,30.49,98,63.91,6.75,06:10:00,18:24:00
66,1478842505,10-11-2016,19:35:05,-1.298885022,51,30.48,73,161.77,5.62,06:28:00,17:45:00
67,1474128003,17-09-2016,06:00:03,1.889873207,,30.46,100,140.58,6.75,06:10:00,18:24:00
68,1482446749,22-12-2016,12:45:49,861.4404192,58,30.42,79,42.61,6.75,06:53:00,17:49:00
69,1475676318,05-10-2016,04:05:18,2.486823737,49,30.43,100,163.44,4.5,06:14:00,18:08:00
70,1479258004,15-11-2016,15:00:04,598.3929682,,,,104.71,5.62,06:31:00,17:43:00
71,1474492520,21-09-2016,11:15:20,991.8950677,59,30.43,82,214.18,2.25,06:11:00,18:20:00
72,1479114902,13-11-2016,23:15:02,-2.524768564,45,30.47,76,124.76,3.37,06:30:00,17:44:00
73,1474208408,18-09-2016,04:20:08,3.71976669,52,30.43,100,150.6,10.65856536,06:11:00,18:23:00
74,1479089702,13-11-2016,16:15:02,337.8371169,54,30.41,77,41.91,7.87,06:30:00,17:44:00
75,1473633318,11-09-2016,12:35:18,492.5445893,61,30.48,81,60.29,7.87,06:09:00,18:29:00
76,1480365917,28-11-2016,10:45:17,813.3802735,58,,56,56.68,6.75,06:39:00,17:42:00
77,1476579321,15-10-2016,14:55:21,728.9516813,68,30.48,38,30.18,4.5,06:17:00,17:59:00
78,1473029705,04-09-2016,12:55:05,271.9109002,59,,96,30.13,4.5,06:08:00,18:35:00
